0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-21.89297103881836,-22.04474468231201,-22.219799709320068,-22.846536350250243,-23.50371332168579,-23.680405950546266,-24.34586091041565,-24.52170991897583,-24.863500547409057,-25.300922775268553,-25.856932640075684,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-28.340365982055665,-30.803774404525758,-31.005523920059204,-31.440952873229982,-31.659223222732543,-32.123906755447386,-32.30327854156494,-32.89921760559082,-33.102847528457644,-33.6446448802948,-33.826350164413455,-34.33978433609009,-34.56676044464111,-35.03881402015686,-35.26217942237854,-36.097715282440184,-120.0
-120.0,-38.60419521331787,-41.02459874153137,-41.50543508529663,-42.08044328689575,-42.28369631767273,-42.806178665161134,-43.017040157318114,-43.564259147644044,-43.76397614479065,-44.29779419898987,-44.502069091796876,-44.923105239868164,-45.12195377349853,-45.76440110206604,-45.96415462493896,-46.544154262542726,-46.74514918327331,-47.52528944015503,-47.72657299041748,-48.31884369850159,-120.0,-120.0
-52.3663236618042,-51.120117378234866,-53.90503182411194,-54.09895873069763,-54.76616067886353,-54.94319739341736,-55.385325002670285,-55.583625364303586,-56.065095281600954,-56.28615975379944,-56.85723648071289,-57.06173267364502,-57.8450092792511,-58.058907175064085,-27.122495889663696,-58.80290784835815,-59.56567497253418,-59.762058877944945,-59.98577766418457,-60.403082609176636,-60.644298219680785,-120.0,-120.0
-120.0,-63.904102849960324,-66.4645866394043,-66.66063108444214,-66.9066593170166,-67.27867770195007,-67.80684657096863,-68.00698223114014,-68.50034103393554,-68.72657713890075,-69.14118857383728,-69.3662211894989,-69.94501757621765,-70.12093167304992,-70.60539951324463,-70.82619833946228,-71.38066935539246,-71.57913966178894,-72.14024057388306,-72.34180302619934,-72.98333926200867,-120.0,-120.0
-120.0,-77.64526681900024,-78.21897039413452,-78.41933717727662,-78.64032311439514,-79.06512060165406,-79.54244174957276,-79.74763040542602,-79.98568329811096,-80.44458961486816,-80.67897043228149,-81.24105496406555,-81.94266815185547,-82.14754552841187,-82.68414635658264,-82.8835780620575,-83.46702280044556,-83.66171460151672,-84.16462602615357,-84.34757175445557,-85.02290034294128,-120.0,-120.0
-120.0,-89.46674952507018,-90.14214024543762,-90.34048666954041,-74.997065782547,-91.12756643295288,-91.62824568748474,-91.81902976036072,-92.46140694618225,-92.65729646682739,-93.24416007995606,-93.4470811843872,-93.8999792098999,-94.10626211166382,-94.5431788444519,-94.75572762489318,-94.98383378982544,-95.42284126281739,-95.92406396865844,-85.96541614532471,-97.28378772735596,-120.0,-120.0
-120.0,-99.5823920249939,-102.08715825080871,-102.28275547027587,-102.48354105949402,-86.8662039756775,-103.54233446121216,-103.74610090255737,-104.27195410728454,-104.48473505973816,-105.02106046676636,-105.22543115615845,-105.77812542915345,-105.98571367263794,-106.48328227996826,-106.68375606536866,-107.00533471107482,-107.50706396102905,-108.02431311607361,-108.22457728385925,-108.68212637901306,-108.86763958930969,-110.30645442008972
-113.70389766693116,-112.26067957878112,-114.76607179641724,-114.96627326011658,-115.18233132362366,-115.66304545402527,-116.16374063491821,-116.36390771865845,-116.88340950012207,-117.08649182319641,-117.64684386253357,-117.84680666923524,-118.51691117286683,-118.72500619888305,-118.9666272163391,-119.44755706787109,-120.01927604675294,-120.24350299835206,-120.84048557281494,-121.04149670600891,-121.52844438552856,-121.72293682098389,-122.26405200958251
-120.0,-126.72702913284301,-127.34608669281006,-127.54678807258605,-127.76238670349122,-128.265874004364,-128.48810515403747,-128.9014132499695,-129.12297368049622,-129.7439670085907,-129.96004757881164,-130.36184153556823,-130.82511253356932,-98.2072949886322,-131.71950922012329,-131.93992133140563,-132.15927772521974,-132.60694847106933,-133.12816309928894,-133.34635038375853,-133.78352088928222,-134.1660924911499,-134.9228925704956
-120.0,-120.0,-120.0,-124.42240152359008,-124.22544541358948,-124.08562264442443,-111.34451279640197,-111.24482793807984,-111.16484174728393,-111.12395324707032,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-110.72506375312805,-110.68656640052795,-110.6662209033966,-123.18589301109314,-123.13722329139709,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-124.00364203453064,-123.94203314781188,-123.84505858421326,-123.7668845653534,-111.08667540550232,-111.02563867568969,-110.96276683807373,-110.92328205108643,-110.86463899612427,-110.82359976768494,-110.78729734420776,-110.74740381240845,-123.28453493118286,-123.24310207366943,-120.0,-120.0,-120.0,-120.0
-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0,-123.68229370117187,-123.6218047618866,-123.56304726600646,-123.49941024780273,-123.46280779838563,-123.40595951080323,-123.36767950057984,-123.34611983299256,-120.0,-120.0,-120.0,-120.0,-120.0,-120.0
